                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 0.8908,                0.73426,                 1.1379,                0.98414,                0.78331,                 1.1501,                0.50701,                0.55697,                 0.4537,                0.25921,                 1.6655,                 1.9354,                 1.9878,                 1.6901,                 2.1984,                  1.855,             0.00069304,             0.00069304,             0.00069304
                     60,                0.88824,                0.72892,                 1.1344,                 0.9766,                0.77333,                 1.1458,                0.53648,                0.54239,                0.45957,                0.26239,                 1.6635,                 1.8941,                 1.9783,                 1.6932,                 2.1709,                 1.8648,             0.00068571,             0.00068571,             0.00068571
                     61,                0.88764,                0.71921,                 1.1341,                0.97996,                0.76048,                 1.1454,                 0.5289,                0.55791,                0.46398,                0.26464,                 1.6318,                 1.8881,                 1.9612,                 1.6779,                 2.1502,                 1.8754,             0.00067838,             0.00067838,             0.00067838
                     62,                0.88798,                0.72467,                 1.1363,                0.97927,                0.76649,                 1.1479,                0.49012,                0.56465,                  0.466,                0.25999,                 1.6482,                 1.9309,                 1.9603,                  1.682,                 2.1817,                 1.8558,             0.00067104,             0.00067104,             0.00067104
                     63,                0.87887,                0.70813,                 1.1319,                0.96936,                0.75443,                 1.1429,                0.52102,                 0.5499,                0.44369,                0.25091,                  1.658,                 1.9733,                 1.9729,                 1.6941,                 2.2174,                 1.8683,             0.00066371,             0.00066371,             0.00066371
                     64,                0.88429,                0.71681,                 1.1387,                0.97407,                0.76284,                 1.1487,                0.53443,                0.54797,                0.46048,                 0.2547,                 1.6707,                  1.921,                 1.9931,                 1.7103,                 2.1749,                 1.8865,             0.00065638,             0.00065638,             0.00065638
                     65,                0.87902,                 0.7063,                 1.1331,                 0.9703,                 0.7457,                 1.1438,                0.52405,                0.58792,                0.46795,                0.26067,                 1.6584,                 1.9547,                 1.9819,                    1.7,                 2.1822,                 1.8705,             0.00064905,             0.00064905,             0.00064905
                     66,                0.87376,                0.69924,                 1.1298,                0.96662,                0.73972,                 1.1404,                  0.546,                0.56156,                0.47971,                0.26092,                 1.6668,                 1.8928,                 2.0114,                 1.7055,                 2.1217,                 1.8844,             0.00064171,             0.00064171,             0.00064171
                     67,                0.86866,                0.69209,                 1.1294,                0.96054,                0.73004,                 1.1405,                 0.5241,                0.54836,                0.45907,                0.25602,                 1.6789,                 1.9768,                 1.9904,                 1.7128,                 2.2107,                 1.8831,             0.00063438,             0.00063438,             0.00063438
                     68,                0.87062,                0.68711,                 1.1271,                0.95961,                0.72406,                 1.1388,                0.51228,                0.57254,                0.45994,                0.25471,                 1.6774,                 1.9547,                 1.9805,                 1.7219,                 2.1907,                 1.8922,             0.00062705,             0.00062705,             0.00062705
                     69,                 0.8723,                0.68513,                 1.1218,                0.96203,                0.72139,                 1.1333,                0.51194,                0.54807,                0.44485,                0.25276,                 1.6743,                 2.0171,                  2.002,                 1.7156,                 2.2848,                  1.896,             0.00061972,             0.00061972,             0.00061972
                     70,                0.87088,                 0.6842,                   1.12,                0.96048,                0.71999,                 1.1307,                0.52817,                0.55913,                0.45892,                0.25607,                  1.679,                 1.9474,                 1.9877,                 1.7125,                   2.22,                 1.8756,             0.00061238,             0.00061238,             0.00061238
                     71,                0.86132,                0.67524,                 1.1196,                0.94997,                0.71178,                  1.131,                0.51428,                0.54899,                0.45996,                0.25959,                 1.6918,                  1.981,                 2.0128,                 1.7232,                 2.2757,                 1.8958,             0.00060505,             0.00060505,             0.00060505
                     72,                0.85937,                0.66987,                 1.1186,                0.94988,                0.70565,                 1.1296,                0.52787,                0.56392,                0.47646,                0.26784,                  1.682,                  1.933,                 2.0142,                 1.7265,                 2.1905,                 1.9127,             0.00059772,             0.00059772,             0.00059772
                     73,                 0.8626,                0.67402,                 1.1166,                0.95118,                0.70972,                 1.1272,                0.54153,                0.55357,                0.45401,                0.25408,                 1.7009,                 1.9622,                 2.0324,                 1.7311,                 2.2365,                 1.9117,             0.00059039,             0.00059039,             0.00059039
                     74,                 0.8528,                0.65876,                 1.1172,                0.93971,                0.69345,                 1.1278,                0.55647,                0.56461,                0.46826,                0.25385,                 1.6689,                 2.0014,                 1.9823,                  1.703,                 2.2654,                  1.865,             0.00058305,             0.00058305,             0.00058305
                     75,                0.85654,                 0.6648,                 1.1182,                0.94687,                 0.6981,                 1.1294,                0.55141,                 0.5828,                 0.4757,                0.26448,                 1.6765,                 1.9124,                  2.002,                 1.7104,                 2.1757,                 1.8855,             0.00057572,             0.00057572,             0.00057572
                     76,                0.85569,                0.65316,                 1.1178,                0.94255,                0.68791,                 1.1284,                 0.5232,                0.55663,                0.45063,                0.25436,                 1.6903,                 2.0208,                 2.0136,                 1.7203,                 2.3064,                 1.8934,             0.00056839,             0.00056839,             0.00056839
                     77,                0.85355,                0.65823,                 1.1177,                0.93916,                0.69263,                 1.1296,                0.51365,                0.53223,                0.43539,                0.24694,                 1.6749,                  2.021,                 1.9996,                 1.7065,                 2.3106,                 1.8902,             0.00056105,             0.00056105,             0.00056105
                     78,                0.86065,                0.66644,                 1.1238,                0.94775,                0.70251,                 1.1344,                 0.5016,                0.54877,                0.43993,                0.24705,                 1.6929,                 2.0081,                  2.018,                 1.7173,                 2.3005,                 1.8906,             0.00055372,             0.00055372,             0.00055372
                     79,                0.85399,                 0.6512,                 1.1155,                0.94259,                0.68099,                 1.1265,                0.51983,                 0.5525,                0.46092,                0.26108,                 1.6816,                 1.9603,                 2.0075,                 1.7231,                 2.2301,                 1.9023,             0.00054639,             0.00054639,             0.00054639
